Gene,Log2FoldChange,PValue,AdjustedPValue
1562527_at,-1.3408470126407983,4.853607525030146e-10,1.3967915605751495e-08
1562755_at,-1.3610294075881033,1.6786128912994708e-08,3.0353222935168157e-07
1563111_a_at,0.9274173449527814,4.5609342033765745e-11,1.7400284358015967e-09
1563182_at,-0.7635743090255005,2.6565062021854938e-05,0.0001369845559670034
1563674_at,-0.532218600226591,0.0009476643389208616,0.0025064391652037713
1564053_a_at,0.6776876460926577,7.878418924491159e-10,2.141438854525932e-08
1564494_s_at,1.263410402952971,1.9509500312060934e-05,0.0001065815276740827
1565269_s_at,0.6074893936164241,1.7939729048003884e-07,2.219948575484557e-06
1565358_at,-0.6770111218984198,0.0006839146848866871,0.0019125537789679008
1565717_s_at,1.325642022059002,3.840207473747138e-06,2.843695529394509e-05
1565951_s_at,0.5732898822850356,2.0247954746569035e-07,2.46403639956208e-06
1566145_s_at,-0.6425317234190853,6.575018840656844e-06,4.40082820542463e-05
1566303_s_at,0.7760276967813331,0.0004983099981368075,0.0014765912374112404
1566901_at,0.5826423151159634,3.9208132656360304e-05,0.00018806523044285
1567913_at,-0.5468610238079428,0.005688526641945536,0.011220050699781912
1568377_x_at,-0.5931884559739009,3.5146149548529415e-05,0.00017199534151860336
1568954_s_at,0.6787104499209606,4.017625968430592e-10,1.1777676440525872e-08
1569003_at,0.9543106687867366,3.883984222096901e-09,8.645482614193639e-08
1569057_s_at,0.5576014876616657,2.3965515055618008e-06,1.9317265670302782e-05
1569106_s_at,0.9683787278571159,6.558829838662916e-07,6.646662709274752e-06
1569607_s_at,-0.5880368491824997,1.916805401720277e-13,1.2366913814295488e-11
1569608_x_at,-0.5849842723794563,9.432329747090641e-08,1.2960559071071374e-06
1569609_at,-0.9823719593473639,1.0404666830381126e-05,6.401816839488054e-05
1569664_at,-0.7625636446667745,5.1611768466557645e-05,0.000234816001424415
1569872_a_at,-0.8171832755364865,4.907320301589783e-06,3.466338899245449e-05
1570255_s_at,-0.9312775182488031,4.126105367708482e-07,4.495077299204514e-06
200008_s_at,0.8167325922628343,0.0005598789891562581,0.0016277085317835272
200604_s_at,0.6443478668851781,0.00010191076451407908,0.00040967277049718345
200607_s_at,0.5955344898997117,1.918049035009729e-05,0.0001050458037362629
